date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:12	216209/216209	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:30:12%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity.html	(from )
21:30:13	1300/1300	---M-Z	200	added ('OK')	text/plain	date:Mon,%2029%20Nov%202021%2005:30:12%20GMT	https://www.microsoft.com/robots.txt		(from )
21:30:15	89478/89478	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2028%20Nov%202021%2020:32:18%20GMT	http://www.microsoft.com/onerfstatics/marketingsites-wcus-prod/_h/dfa0b592/coreui.statics/externalscripts/jquery/jquery-3.5.1.min.js	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/onerfstatics/marketingsites-wcus-prod/_h/dfa0b592/coreui.statics/externalscripts/jquery/jquery-3.5.1.min.js	(from https://www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity)
21:30:15	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2029%20Nov%202021%2005:30:14%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET	(from https://www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity)
21:30:15	181319/181319	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:30:15%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/skills-employability	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/skills-employability.html	(from https://www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity)
21:30:16	229606/229606	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:30:16%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/airband	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/airband.html	(from https://www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity)
21:30:16	248889/248889	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:30:16%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/techspark	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/techspark.html	(from https://www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity)
21:30:16	221684/221684	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:30:16%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/rural-communities	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/rural-communities.html	(from https://www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity)
21:30:17	201576/201576	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:30:17%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/philanthropies/washington-state	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/philanthropies/washington-state.html	(from https://www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity)
21:30:17	204449/204449	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:30:17%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/human-rights	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/human-rights.html	(from https://www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity)
21:30:17	235830/235830	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:30:17%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/philanthropies/humanitarian-action	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/philanthropies/humanitarian-action.html	(from https://www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity)
21:30:18	355460/355460	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:30:18%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/protecting-journalism	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/protecting-journalism.html	(from https://www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity)
21:30:18	268906/268906	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:30:18%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/sustainability	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/sustainability.html	(from https://www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity)
21:30:18	253405/253405	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:30:18%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/sustainability/operations	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/sustainability/operations.html	(from https://www.microsoft.com/en-us/corporate-responsibility/inclusive-economic-opportunity)
